input,output,split
50 + 59 = ???,50 + 59 = 109,train
91 + 16 = ???,91 + 16 = 107,train
68 + 06 = ???,68 + 06 = 074,train
79 + 69 = ???,79 + 69 = 148,train
66 + 77 = ???,66 + 77 = 143,train
23 + 89 = ???,23 + 89 = 112,train
06 + 03 = ???,06 + 03 = 009,train
84 + 06 = ???,84 + 06 = 090,train
43 + 45 = ???,43 + 45 = 088,train
52 + 25 = ???,52 + 25 = 077,train
15 + 93 = ???,15 + 93 = 108,train
61 + 24 = ???,61 + 24 = 085,train
63 + 69 = ???,63 + 69 = 132,train
65 + 93 = ???,65 + 93 = 158,train
04 + 78 = ???,04 + 78 = 082,train
95 + 10 = ???,95 + 10 = 105,train
00 + 26 = ???,00 + 26 = 026,train
90 + 03 = ???,90 + 03 = 093,train
43 + 81 = ???,43 + 81 = 124,train
12 + 50 = ???,12 + 50 = 062,train
59 + 67 = ???,59 + 67 = 126,train
40 + 98 = ???,40 + 98 = 138,train
11 + 74 = ???,11 + 74 = 085,train
71 + 47 = ???,71 + 47 = 118,train
94 + 24 = ???,94 + 24 = 118,train
75 + 58 = ???,75 + 58 = 133,train
18 + 44 = ???,18 + 44 = 062,train
92 + 74 = ???,92 + 74 = 166,train
56 + 65 = ???,56 + 65 = 121,train
22 + 53 = ???,22 + 53 = 075,train
80 + 06 = ???,80 + 06 = 086,train
37 + 00 = ???,37 + 00 = 037,train
20 + 21 = ???,20 + 21 = 041,train
32 + 62 = ???,32 + 62 = 094,train
28 + 88 = ???,28 + 88 = 116,train
17 + 67 = ???,17 + 67 = 084,train
01 + 33 = ???,01 + 33 = 034,train
30 + 44 = ???,30 + 44 = 074,train
08 + 58 = ???,08 + 58 = 066,train
39 + 95 = ???,39 + 95 = 134,train
22 + 52 = ???,22 + 52 = 074,train
81 + 27 = ???,81 + 27 = 108,train
49 + 94 = ???,49 + 94 = 143,train
54 + 15 = ???,54 + 15 = 069,train
07 + 13 = ???,07 + 13 = 020,train
49 + 46 = ???,49 + 46 = 095,train
81 + 31 = ???,81 + 31 = 112,train
66 + 54 = ???,66 + 54 = 120,train
97 + 46 = ???,97 + 46 = 143,train
43 + 62 = ???,43 + 62 = 105,train
18 + 36 = ???,18 + 36 = 054,train
55 + 19 = ???,55 + 19 = 074,train
91 + 36 = ???,91 + 36 = 127,train
29 + 84 = ???,29 + 84 = 113,train
67 + 50 = ???,67 + 50 = 117,train
43 + 75 = ???,43 + 75 = 118,train
37 + 43 = ???,37 + 43 = 080,train
30 + 37 = ???,30 + 37 = 067,train
94 + 51 = ???,94 + 51 = 145,train
79 + 37 = ???,79 + 37 = 116,train
50 + 15 = ???,50 + 15 = 065,train
34 + 99 = ???,34 + 99 = 133,train
17 + 49 = ???,17 + 49 = 066,train
62 + 47 = ???,62 + 47 = 109,train
18 + 14 = ???,18 + 14 = 032,train
98 + 20 = ???,98 + 20 = 118,train
73 + 82 = ???,73 + 82 = 155,train
60 + 84 = ???,60 + 84 = 144,train
05 + 02 = ???,05 + 02 = 007,train
64 + 63 = ???,64 + 63 = 127,train
22 + 02 = ???,22 + 02 = 024,train
27 + 94 = ???,27 + 94 = 121,train
99 + 17 = ???,99 + 17 = 116,train
80 + 99 = ???,80 + 99 = 179,train
02 + 95 = ???,02 + 95 = 097,train
66 + 79 = ???,66 + 79 = 145,train
30 + 50 = ???,30 + 50 = 080,train
86 + 87 = ???,86 + 87 = 173,train
69 + 85 = ???,69 + 85 = 154,train
50 + 19 = ???,50 + 19 = 069,train
44 + 83 = ???,44 + 83 = 127,train
16 + 77 = ???,16 + 77 = 093,train
38 + 48 = ???,38 + 48 = 086,train
03 + 82 = ???,03 + 82 = 085,train
89 + 48 = ???,89 + 48 = 137,train
68 + 88 = ???,68 + 88 = 156,train
21 + 08 = ???,21 + 08 = 029,train
40 + 45 = ???,40 + 45 = 085,train
06 + 85 = ???,06 + 85 = 091,train
64 + 67 = ???,64 + 67 = 131,train
96 + 95 = ???,96 + 95 = 191,train
41 + 91 = ???,41 + 91 = 132,train
26 + 96 = ???,26 + 96 = 122,train
12 + 63 = ???,12 + 63 = 075,train
64 + 36 = ???,64 + 36 = 100,train
32 + 27 = ???,32 + 27 = 059,train
92 + 09 = ???,92 + 09 = 101,train
59 + 50 = ???,59 + 50 = 109,train
56 + 00 = ???,56 + 00 = 056,train
89 + 59 = ???,89 + 59 = 148,train
50 + 37 = ???,50 + 37 = 087,train
20 + 89 = ???,20 + 89 = 109,train
75 + 86 = ???,75 + 86 = 161,train
53 + 70 = ???,53 + 70 = 123,train
14 + 47 = ???,14 + 47 = 061,train
74 + 06 = ???,74 + 06 = 080,train
50 + 80 = ???,50 + 80 = 130,train
98 + 32 = ???,98 + 32 = 130,train
79 + 59 = ???,79 + 59 = 138,train
93 + 05 = ???,93 + 05 = 098,train
58 + 18 = ???,58 + 18 = 076,train
32 + 30 = ???,32 + 30 = 062,train
42 + 48 = ???,42 + 48 = 090,train
54 + 71 = ???,54 + 71 = 125,train
00 + 32 = ???,00 + 32 = 032,train
23 + 61 = ???,23 + 61 = 084,train
44 + 11 = ???,44 + 11 = 055,train
00 + 05 = ???,00 + 05 = 005,train
59 + 72 = ???,59 + 72 = 131,train
49 + 70 = ???,49 + 70 = 119,train
30 + 49 = ???,30 + 49 = 079,train
15 + 68 = ???,15 + 68 = 083,train
99 + 43 = ???,99 + 43 = 142,train
22 + 38 = ???,22 + 38 = 060,train
85 + 32 = ???,85 + 32 = 117,train
84 + 65 = ???,84 + 65 = 149,train
84 + 64 = ???,84 + 64 = 148,train
15 + 38 = ???,15 + 38 = 053,train
70 + 84 = ???,70 + 84 = 154,train
55 + 60 = ???,55 + 60 = 115,train
37 + 33 = ???,37 + 33 = 070,train
29 + 46 = ???,29 + 46 = 075,train
73 + 26 = ???,73 + 26 = 099,train
22 + 47 = ???,22 + 47 = 069,train
15 + 07 = ???,15 + 07 = 022,train
28 + 34 = ???,28 + 34 = 062,train
51 + 28 = ???,51 + 28 = 079,train
33 + 07 = ???,33 + 07 = 040,train
39 + 99 = ???,39 + 99 = 138,train
26 + 64 = ???,26 + 64 = 090,train
42 + 47 = ???,42 + 47 = 089,train
54 + 46 = ???,54 + 46 = 100,train
46 + 00 = ???,46 + 00 = 046,train
60 + 74 = ???,60 + 74 = 134,train
84 + 59 = ???,84 + 59 = 143,train
60 + 48 = ???,60 + 48 = 108,train
97 + 34 = ???,97 + 34 = 131,train
50 + 20 = ???,50 + 20 = 070,train
57 + 87 = ???,57 + 87 = 144,train
82 + 00 = ???,82 + 00 = 082,train
64 + 96 = ???,64 + 96 = 160,train
16 + 43 = ???,16 + 43 = 059,train
51 + 74 = ???,51 + 74 = 125,train
14 + 40 = ???,14 + 40 = 054,train
34 + 22 = ???,34 + 22 = 056,train
22 + 00 = ???,22 + 00 = 022,train
39 + 33 = ???,39 + 33 = 072,train
89 + 53 = ???,89 + 53 = 142,train
83 + 21 = ???,83 + 21 = 104,train
77 + 06 = ???,77 + 06 = 083,train
44 + 76 = ???,44 + 76 = 120,train
94 + 30 = ???,94 + 30 = 124,train
79 + 32 = ???,79 + 32 = 111,train
04 + 96 = ???,04 + 96 = 100,train
26 + 71 = ???,26 + 71 = 097,train
78 + 64 = ???,78 + 64 = 142,train
74 + 90 = ???,74 + 90 = 164,train
53 + 08 = ???,53 + 08 = 061,train
91 + 86 = ???,91 + 86 = 177,train
89 + 16 = ???,89 + 16 = 105,train
78 + 20 = ???,78 + 20 = 098,train
80 + 07 = ???,80 + 07 = 087,train
12 + 71 = ???,12 + 71 = 083,train
28 + 67 = ???,28 + 67 = 095,train
19 + 16 = ???,19 + 16 = 035,train
34 + 05 = ???,34 + 05 = 039,train
75 + 46 = ???,75 + 46 = 121,train
68 + 15 = ???,68 + 15 = 083,train
36 + 14 = ???,36 + 14 = 050,train
56 + 57 = ???,56 + 57 = 113,train
28 + 02 = ???,28 + 02 = 030,train
52 + 54 = ???,52 + 54 = 106,train
34 + 24 = ???,34 + 24 = 058,train
53 + 72 = ???,53 + 72 = 125,train
74 + 57 = ???,74 + 57 = 131,train
41 + 46 = ???,41 + 46 = 087,train
51 + 90 = ???,51 + 90 = 141,train
85 + 17 = ???,85 + 17 = 102,train
92 + 23 = ???,92 + 23 = 115,train
11 + 82 = ???,11 + 82 = 093,train
11 + 15 = ???,11 + 15 = 026,train
86 + 85 = ???,86 + 85 = 171,train
51 + 72 = ???,51 + 72 = 123,train
41 + 90 = ???,41 + 90 = 131,train
57 + 52 = ???,57 + 52 = 109,train
71 + 04 = ???,71 + 04 = 075,train
69 + 25 = ???,69 + 25 = 094,train
27 + 22 = ???,27 + 22 = 049,train
28 + 46 = ???,28 + 46 = 074,train
52 + 22 = ???,52 + 22 = 074,train
17 + 37 = ???,17 + 37 = 054,train
48 + 70 = ???,48 + 70 = 118,train
26 + 77 = ???,26 + 77 = 103,train
58 + 03 = ???,58 + 03 = 061,train
53 + 83 = ???,53 + 83 = 136,train
44 + 14 = ???,44 + 14 = 058,train
02 + 39 = ???,02 + 39 = 041,train
26 + 28 = ???,26 + 28 = 054,train
09 + 37 = ???,09 + 37 = 046,train
09 + 14 = ???,09 + 14 = 023,train
05 + 54 = ???,05 + 54 = 059,train
07 + 05 = ???,07 + 05 = 012,train
60 + 63 = ???,60 + 63 = 123,train
87 + 75 = ???,87 + 75 = 162,train
32 + 26 = ???,32 + 26 = 058,train
71 + 23 = ???,71 + 23 = 094,train
93 + 61 = ???,93 + 61 = 154,train
80 + 18 = ???,80 + 18 = 098,train
20 + 57 = ???,20 + 57 = 077,train
41 + 07 = ???,41 + 07 = 048,train
42 + 07 = ???,42 + 07 = 049,train
82 + 25 = ???,82 + 25 = 107,train
91 + 04 = ???,91 + 04 = 095,train
61 + 99 = ???,61 + 99 = 160,train
23 + 57 = ???,23 + 57 = 080,train
93 + 39 = ???,93 + 39 = 132,train
08 + 23 = ???,08 + 23 = 031,train
83 + 86 = ???,83 + 86 = 169,train
06 + 34 = ???,06 + 34 = 040,train
99 + 85 = ???,99 + 85 = 184,train
92 + 15 = ???,92 + 15 = 107,train
12 + 67 = ???,12 + 67 = 079,train
44 + 39 = ???,44 + 39 = 083,train
07 + 20 = ???,07 + 20 = 027,train
13 + 64 = ???,13 + 64 = 077,train
68 + 60 = ???,68 + 60 = 128,train
31 + 60 = ???,31 + 60 = 091,train
06 + 32 = ???,06 + 32 = 038,train
41 + 58 = ???,41 + 58 = 099,train
33 + 94 = ???,33 + 94 = 127,train
17 + 96 = ???,17 + 96 = 113,train
06 + 29 = ???,06 + 29 = 035,train
43 + 43 = ???,43 + 43 = 086,train
69 + 31 = ???,69 + 31 = 100,train
08 + 56 = ???,08 + 56 = 064,train
53 + 07 = ???,53 + 07 = 060,train
48 + 00 = ???,48 + 00 = 048,train
01 + 49 = ???,01 + 49 = 050,train
69 + 44 = ???,69 + 44 = 113,train
77 + 75 = ???,77 + 75 = 152,train
14 + 78 = ???,14 + 78 = 092,train
33 + 23 = ???,33 + 23 = 056,train
26 + 85 = ???,26 + 85 = 111,train
87 + 74 = ???,87 + 74 = 161,train
38 + 26 = ???,38 + 26 = 064,train
48 + 90 = ???,48 + 90 = 138,train
21 + 29 = ???,21 + 29 = 050,train
88 + 97 = ???,88 + 97 = 185,train
25 + 71 = ???,25 + 71 = 096,train
65 + 90 = ???,65 + 90 = 155,train
49 + 05 = ???,49 + 05 = 054,train
55 + 90 = ???,55 + 90 = 145,train
43 + 03 = ???,43 + 03 = 046,train
89 + 42 = ???,89 + 42 = 131,train
29 + 11 = ???,29 + 11 = 040,train
33 + 52 = ???,33 + 52 = 085,train
91 + 49 = ???,91 + 49 = 140,train
76 + 53 = ???,76 + 53 = 129,train
02 + 06 = ???,02 + 06 = 008,train
25 + 95 = ???,25 + 95 = 120,train
90 + 29 = ???,90 + 29 = 119,train
36 + 13 = ???,36 + 13 = 049,train
00 + 83 = ???,00 + 83 = 083,train
25 + 83 = ???,25 + 83 = 108,train
46 + 48 = ???,46 + 48 = 094,train
95 + 47 = ???,95 + 47 = 142,train
28 + 09 = ???,28 + 09 = 037,train
89 + 05 = ???,89 + 05 = 094,train
20 + 65 = ???,20 + 65 = 085,train
39 + 17 = ???,39 + 17 = 056,train
46 + 09 = ???,46 + 09 = 055,train
73 + 15 = ???,73 + 15 = 088,train
09 + 11 = ???,09 + 11 = 020,train
61 + 90 = ???,61 + 90 = 151,train
71 + 43 = ???,71 + 43 = 114,train
49 + 84 = ???,49 + 84 = 133,train
35 + 97 = ???,35 + 97 = 132,train
14 + 03 = ???,14 + 03 = 017,train
10 + 32 = ???,10 + 32 = 042,train
64 + 32 = ???,64 + 32 = 096,train
30 + 77 = ???,30 + 77 = 107,train
79 + 29 = ???,79 + 29 = 108,train
44 + 97 = ???,44 + 97 = 141,train
50 + 49 = ???,50 + 49 = 099,train
64 + 98 = ???,64 + 98 = 162,train
13 + 19 = ???,13 + 19 = 032,train
84 + 83 = ???,84 + 83 = 167,train
02 + 47 = ???,02 + 47 = 049,train
83 + 85 = ???,83 + 85 = 168,train
78 + 69 = ???,78 + 69 = 147,train
30 + 67 = ???,30 + 67 = 097,train
12 + 46 = ???,12 + 46 = 058,train
02 + 74 = ???,02 + 74 = 076,train
98 + 67 = ???,98 + 67 = 165,train
07 + 94 = ???,07 + 94 = 101,train
23 + 16 = ???,23 + 16 = 039,train
26 + 98 = ???,26 + 98 = 124,train
91 + 91 = ???,91 + 91 = 182,train
55 + 55 = ???,55 + 55 = 110,train
72 + 42 = ???,72 + 42 = 114,train
01 + 23 = ???,01 + 23 = 024,train
19 + 19 = ???,19 + 19 = 038,train
09 + 34 = ???,09 + 34 = 043,train
10 + 30 = ???,10 + 30 = 040,train
88 + 66 = ???,88 + 66 = 154,train
37 + 85 = ???,37 + 85 = 122,train
92 + 02 = ???,92 + 02 = 094,train
82 + 79 = ???,82 + 79 = 161,train
49 + 44 = ???,49 + 44 = 093,train
77 + 92 = ???,77 + 92 = 169,train
66 + 85 = ???,66 + 85 = 151,train
15 + 62 = ???,15 + 62 = 077,train
43 + 22 = ???,43 + 22 = 065,train
60 + 14 = ???,60 + 14 = 074,train
47 + 32 = ???,47 + 32 = 079,train
41 + 36 = ???,41 + 36 = 077,train
70 + 62 = ???,70 + 62 = 132,train
40 + 89 = ???,40 + 89 = 129,train
83 + 69 = ???,83 + 69 = 152,train
72 + 62 = ???,72 + 62 = 134,train
10 + 03 = ???,10 + 03 = 013,train
78 + 15 = ???,78 + 15 = 093,train
63 + 39 = ???,63 + 39 = 102,train
24 + 13 = ???,24 + 13 = 037,train
14 + 94 = ???,14 + 94 = 108,train
01 + 20 = ???,01 + 20 = 021,train
74 + 37 = ???,74 + 37 = 111,train
20 + 29 = ???,20 + 29 = 049,train
05 + 70 = ???,05 + 70 = 075,train
48 + 19 = ???,48 + 19 = 067,train
80 + 20 = ???,80 + 20 = 100,train
45 + 92 = ???,45 + 92 = 137,train
97 + 43 = ???,97 + 43 = 140,train
12 + 17 = ???,12 + 17 = 029,train
58 + 80 = ???,58 + 80 = 138,train
30 + 94 = ???,30 + 94 = 124,train
72 + 86 = ???,72 + 86 = 158,train
84 + 72 = ???,84 + 72 = 156,train
86 + 62 = ???,86 + 62 = 148,train
25 + 72 = ???,25 + 72 = 097,train
70 + 95 = ???,70 + 95 = 165,train
84 + 28 = ???,84 + 28 = 112,train
17 + 04 = ???,17 + 04 = 021,train
38 + 34 = ???,38 + 34 = 072,train
67 + 54 = ???,67 + 54 = 121,train
71 + 37 = ???,71 + 37 = 108,train
26 + 06 = ???,26 + 06 = 032,train
65 + 12 = ???,65 + 12 = 077,train
34 + 58 = ???,34 + 58 = 092,train
70 + 17 = ???,70 + 17 = 087,train
16 + 98 = ???,16 + 98 = 114,train
61 + 62 = ???,61 + 62 = 123,train
41 + 75 = ???,41 + 75 = 116,train
64 + 94 = ???,64 + 94 = 158,train
88 + 74 = ???,88 + 74 = 162,train
63 + 13 = ???,63 + 13 = 076,train
94 + 29 = ???,94 + 29 = 123,train
79 + 41 = ???,79 + 41 = 120,train
28 + 04 = ???,28 + 04 = 032,train
47 + 96 = ???,47 + 96 = 143,train
14 + 04 = ???,14 + 04 = 018,train
29 + 81 = ???,29 + 81 = 110,train
79 + 44 = ???,79 + 44 = 123,train
80 + 44 = ???,80 + 44 = 124,train
87 + 47 = ???,87 + 47 = 134,train
47 + 41 = ???,47 + 41 = 088,train
90 + 35 = ???,90 + 35 = 125,train
33 + 15 = ???,33 + 15 = 048,train
43 + 77 = ???,43 + 77 = 120,train
49 + 03 = ???,49 + 03 = 052,train
21 + 56 = ???,21 + 56 = 077,train
57 + 77 = ???,57 + 77 = 134,train
44 + 31 = ???,44 + 31 = 075,train
85 + 18 = ???,85 + 18 = 103,train
01 + 67 = ???,01 + 67 = 068,train
08 + 68 = ???,08 + 68 = 076,train
04 + 52 = ???,04 + 52 = 056,train
63 + 44 = ???,63 + 44 = 107,train
07 + 77 = ???,07 + 77 = 084,train
28 + 77 = ???,28 + 77 = 105,train
67 + 85 = ???,67 + 85 = 152,train
56 + 37 = ???,56 + 37 = 093,train
06 + 56 = ???,06 + 56 = 062,train
19 + 03 = ???,19 + 03 = 022,train
18 + 37 = ???,18 + 37 = 055,train
15 + 16 = ???,15 + 16 = 031,train
40 + 90 = ???,40 + 90 = 130,train
56 + 06 = ???,56 + 06 = 062,train
72 + 54 = ???,72 + 54 = 126,train
59 + 96 = ???,59 + 96 = 155,train
90 + 41 = ???,90 + 41 = 131,train
34 + 77 = ???,34 + 77 = 111,train
69 + 69 = ???,69 + 69 = 138,train
75 + 44 = ???,75 + 44 = 119,train
14 + 98 = ???,14 + 98 = 112,train
90 + 92 = ???,90 + 92 = 182,train
88 + 58 = ???,88 + 58 = 146,train
95 + 55 = ???,95 + 55 = 150,train
58 + 26 = ???,58 + 26 = 084,train
03 + 58 = ???,03 + 58 = 061,train
86 + 50 = ???,86 + 50 = 136,train
61 + 55 = ???,61 + 55 = 116,train
46 + 82 = ???,46 + 82 = 128,train
97 + 71 = ???,97 + 71 = 168,train
38 + 72 = ???,38 + 72 = 110,train
47 + 10 = ???,47 + 10 = 057,train
77 + 13 = ???,77 + 13 = 090,train
42 + 71 = ???,42 + 71 = 113,train
34 + 03 = ???,34 + 03 = 037,train
52 + 11 = ???,52 + 11 = 063,train
78 + 91 = ???,78 + 91 = 169,train
42 + 42 = ???,42 + 42 = 084,train
96 + 54 = ???,96 + 54 = 150,train
40 + 85 = ???,40 + 85 = 125,train
70 + 70 = ???,70 + 70 = 140,train
06 + 45 = ???,06 + 45 = 051,train
35 + 77 = ???,35 + 77 = 112,train
84 + 31 = ???,84 + 31 = 115,train
22 + 25 = ???,22 + 25 = 047,train
97 + 29 = ???,97 + 29 = 126,train
84 + 60 = ???,84 + 60 = 144,train
26 + 67 = ???,26 + 67 = 093,train
07 + 29 = ???,07 + 29 = 036,train
79 + 68 = ???,79 + 68 = 147,train
40 + 71 = ???,40 + 71 = 111,train
60 + 26 = ???,60 + 26 = 086,train
98 + 23 = ???,98 + 23 = 121,train
61 + 75 = ???,61 + 75 = 136,train
88 + 88 = ???,88 + 88 = 176,train
58 + 47 = ???,58 + 47 = 105,train
78 + 46 = ???,78 + 46 = 124,train
40 + 48 = ???,40 + 48 = 088,train
64 + 04 = ???,64 + 04 = 068,train
48 + 45 = ???,48 + 45 = 093,train
30 + 66 = ???,30 + 66 = 096,train
85 + 10 = ???,85 + 10 = 095,train
53 + 09 = ???,53 + 09 = 062,train
70 + 07 = ???,70 + 07 = 077,train
72 + 76 = ???,72 + 76 = 148,train
44 + 16 = ???,44 + 16 = 060,train
88 + 41 = ???,88 + 41 = 129,train
07 + 21 = ???,07 + 21 = 028,train
94 + 59 = ???,94 + 59 = 153,train
71 + 85 = ???,71 + 85 = 156,train
04 + 84 = ???,04 + 84 = 088,train
09 + 08 = ???,09 + 08 = 017,train
95 + 19 = ???,95 + 19 = 114,train
81 + 16 = ???,81 + 16 = 097,train
91 + 09 = ???,91 + 09 = 100,train
83 + 14 = ???,83 + 14 = 097,train
70 + 54 = ???,70 + 54 = 124,train
10 + 22 = ???,10 + 22 = 032,train
29 + 94 = ???,29 + 94 = 123,train
28 + 41 = ???,28 + 41 = 069,train
87 + 25 = ???,87 + 25 = 112,train
95 + 96 = ???,95 + 96 = 191,train
93 + 36 = ???,93 + 36 = 129,train
84 + 30 = ???,84 + 30 = 114,train
68 + 33 = ???,68 + 33 = 101,train
60 + 61 = ???,60 + 61 = 121,train
19 + 37 = ???,19 + 37 = 056,train
92 + 33 = ???,92 + 33 = 125,train
46 + 29 = ???,46 + 29 = 075,train
11 + 78 = ???,11 + 78 = 089,train
61 + 29 = ???,61 + 29 = 090,train
35 + 05 = ???,35 + 05 = 040,train
41 + 42 = ???,41 + 42 = 083,train
54 + 03 = ???,54 + 03 = 057,train
55 + 03 = ???,55 + 03 = 058,train
29 + 33 = ???,29 + 33 = 062,train
59 + 48 = ???,59 + 48 = 107,train
81 + 91 = ???,81 + 91 = 172,train
68 + 21 = ???,68 + 21 = 089,train
48 + 02 = ???,48 + 02 = 050,train
34 + 52 = ???,34 + 52 = 086,train
29 + 27 = ???,29 + 27 = 056,train
41 + 34 = ???,41 + 34 = 075,train
40 + 79 = ???,40 + 79 = 119,train
14 + 68 = ???,14 + 68 = 082,train
94 + 74 = ???,94 + 74 = 168,train
32 + 45 = ???,32 + 45 = 077,train
71 + 64 = ???,71 + 64 = 135,train
39 + 02 = ???,39 + 02 = 041,train
60 + 45 = ???,60 + 45 = 105,train
45 + 97 = ???,45 + 97 = 142,train
19 + 06 = ???,19 + 06 = 025,train
83 + 23 = ???,83 + 23 = 106,train
98 + 14 = ???,98 + 14 = 112,train
73 + 01 = ???,73 + 01 = 074,train
11 + 22 = ???,11 + 22 = 033,train
66 + 68 = ???,66 + 68 = 134,train
67 + 02 = ???,67 + 02 = 069,train
04 + 32 = ???,04 + 32 = 036,train
83 + 78 = ???,83 + 78 = 161,train
37 + 48 = ???,37 + 48 = 085,train
96 + 82 = ???,96 + 82 = 178,train
92 + 85 = ???,92 + 85 = 177,train
24 + 31 = ???,24 + 31 = 055,train
97 + 03 = ???,97 + 03 = 100,train
86 + 63 = ???,86 + 63 = 149,train
25 + 15 = ???,25 + 15 = 040,train
32 + 67 = ???,32 + 67 = 099,train
06 + 20 = ???,06 + 20 = 026,train
20 + 14 = ???,20 + 14 = 034,train
99 + 32 = ???,99 + 32 = 131,train
53 + 87 = ???,53 + 87 = 140,train
85 + 27 = ???,85 + 27 = 112,train
63 + 22 = ???,63 + 22 = 085,train
98 + 02 = ???,98 + 02 = 100,train
05 + 55 = ???,05 + 55 = 060,train
88 + 73 = ???,88 + 73 = 161,train
91 + 10 = ???,91 + 10 = 101,train
98 + 93 = ???,98 + 93 = 191,train
30 + 16 = ???,30 + 16 = 046,train
08 + 17 = ???,08 + 17 = 025,train
99 + 50 = ???,99 + 50 = 149,train
96 + 65 = ???,96 + 65 = 161,train
48 + 15 = ???,48 + 15 = 063,train
66 + 52 = ???,66 + 52 = 118,train
35 + 41 = ???,35 + 41 = 076,train
49 + 91 = ???,49 + 91 = 140,train
54 + 97 = ???,54 + 97 = 151,train
51 + 52 = ???,51 + 52 = 103,train
87 + 29 = ???,87 + 29 = 116,train
99 + 62 = ???,99 + 62 = 161,train
96 + 74 = ???,96 + 74 = 170,train
26 + 21 = ???,26 + 21 = 047,train
85 + 53 = ???,85 + 53 = 138,train
28 + 42 = ???,28 + 42 = 070,train
45 + 95 = ???,45 + 95 = 140,train
97 + 24 = ???,97 + 24 = 121,train
71 + 13 = ???,71 + 13 = 084,train
31 + 16 = ???,31 + 16 = 047,train
68 + 05 = ???,68 + 05 = 073,train
70 + 60 = ???,70 + 60 = 130,train
62 + 40 = ???,62 + 40 = 102,train
44 + 64 = ???,44 + 64 = 108,train
99 + 48 = ???,99 + 48 = 147,train
10 + 91 = ???,10 + 91 = 101,train
28 + 38 = ???,28 + 38 = 066,train
74 + 53 = ???,74 + 53 = 127,train
64 + 13 = ???,64 + 13 = 077,train
94 + 72 = ???,94 + 72 = 166,train
12 + 54 = ???,12 + 54 = 066,train
66 + 21 = ???,66 + 21 = 087,train
98 + 59 = ???,98 + 59 = 157,train
23 + 05 = ???,23 + 05 = 028,train
33 + 42 = ???,33 + 42 = 075,train
20 + 44 = ???,20 + 44 = 064,train
99 + 15 = ???,99 + 15 = 114,train
91 + 43 = ???,91 + 43 = 134,train
66 + 25 = ???,66 + 25 = 091,train
59 + 73 = ???,59 + 73 = 132,train
15 + 23 = ???,15 + 23 = 038,train
51 + 49 = ???,51 + 49 = 100,train
20 + 04 = ???,20 + 04 = 024,train
61 + 96 = ???,61 + 96 = 157,train
57 + 19 = ???,57 + 19 = 076,train
59 + 58 = ???,59 + 58 = 117,train
16 + 82 = ???,16 + 82 = 098,train
40 + 06 = ???,40 + 06 = 046,train
84 + 44 = ???,84 + 44 = 128,train
21 + 61 = ???,21 + 61 = 082,train
01 + 46 = ???,01 + 46 = 047,train
46 + 76 = ???,46 + 76 = 122,train
85 + 38 = ???,85 + 38 = 123,train
73 + 11 = ???,73 + 11 = 084,train
00 + 01 = ???,00 + 01 = 001,train
95 + 97 = ???,95 + 97 = 192,train
13 + 96 = ???,13 + 96 = 109,train
30 + 59 = ???,30 + 59 = 089,train
79 + 04 = ???,79 + 04 = 083,train
22 + 48 = ???,22 + 48 = 070,train
00 + 65 = ???,00 + 65 = 065,train
13 + 35 = ???,13 + 35 = 048,train
91 + 54 = ???,91 + 54 = 145,train
61 + 01 = ???,61 + 01 = 062,train
04 + 29 = ???,04 + 29 = 033,train
37 + 79 = ???,37 + 79 = 116,train
21 + 54 = ???,21 + 54 = 075,train
14 + 96 = ???,14 + 96 = 110,train
91 + 33 = ???,91 + 33 = 124,train
15 + 60 = ???,15 + 60 = 075,train
06 + 80 = ???,06 + 80 = 086,train
75 + 97 = ???,75 + 97 = 172,train
51 + 43 = ???,51 + 43 = 094,train
90 + 97 = ???,90 + 97 = 187,train
17 + 50 = ???,17 + 50 = 067,train
16 + 37 = ???,16 + 37 = 053,train
24 + 55 = ???,24 + 55 = 079,train
79 + 31 = ???,79 + 31 = 110,train
84 + 56 = ???,84 + 56 = 140,train
30 + 07 = ???,30 + 07 = 037,train
86 + 39 = ???,86 + 39 = 125,train
33 + 54 = ???,33 + 54 = 087,train
88 + 23 = ???,88 + 23 = 111,train
60 + 05 = ???,60 + 05 = 065,train
90 + 15 = ???,90 + 15 = 105,train
50 + 26 = ???,50 + 26 = 076,train
50 + 11 = ???,50 + 11 = 061,train
71 + 35 = ???,71 + 35 = 106,train
71 + 82 = ???,71 + 82 = 153,train
32 + 86 = ???,32 + 86 = 118,train
37 + 77 = ???,37 + 77 = 114,train
26 + 01 = ???,26 + 01 = 027,train
92 + 28 = ???,92 + 28 = 120,train
58 + 52 = ???,58 + 52 = 110,train
22 + 94 = ???,22 + 94 = 116,train
47 + 55 = ???,47 + 55 = 102,train
01 + 07 = ???,01 + 07 = 008,train
12 + 26 = ???,12 + 26 = 038,train
71 + 86 = ???,71 + 86 = 157,train
91 + 14 = ???,91 + 14 = 105,train
23 + 31 = ???,23 + 31 = 054,train
55 + 73 = ???,55 + 73 = 128,train
89 + 86 = ???,89 + 86 = 175,train
08 + 76 = ???,08 + 76 = 084,train
19 + 00 = ???,19 + 00 = 019,train
96 + 24 = ???,96 + 24 = 120,train
76 + 64 = ???,76 + 64 = 140,train
81 + 05 = ???,81 + 05 = 086,train
52 + 18 = ???,52 + 18 = 070,train
18 + 16 = ???,18 + 16 = 034,train
86 + 75 = ???,86 + 75 = 161,train
54 + 55 = ???,54 + 55 = 109,train
12 + 43 = ???,12 + 43 = 055,train
